DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean
Adilabad,Andhra Pradesh,28,1,532,0.366761695,0.726749606,0.783161114,0.762660579,0.693557513,0.46362123,0.466228168,0.381262985,0.263017692,0.619907574,0.701531574,0.805012402,0.473892211,0.605902537,0.763991437,0.682467543,0.669268651,0.258385443,0.003334509,0.536992004,0.287610905,0.666448152,0.522914436,0.463879997
Agra,Uttar Pradesh,9,15,146,2.142313782,2.836081741,2.500082499,2.331359821,2.10102271,2.079077806,1.935139156,1.603886966,1.915364373,2.197916645,2.459561898,2.667502252,2.853638519,2.830212411,2.971612534,2.751590725,2.545062349,2.022402446,1.907699968,1.762122232,1.521365036,2.833720069,2.411667533,2.21688872
Ahmadabad,Gujarat,24,7,474,2.434656337,2.65358297,2.474278429,2.402413036,2.317875689,2.162011725,2.046686044,1.474740096,1.788333169,2.200645693,2.283046906,2.406276114,2.316360612,2.514151558,2.550559962,2.555980242,2.384973146,2.241868348,2.000106672,1.205545427,1.029346424,2.475427177,2.132039566,2.204282617
Ahmadnagar,Maharashtra,27,26,522,0.890315024,1.244304551,1.211454991,1.290921498,1.202064545,0.778263748,0.775297135,0.761889675,0.366970831,0.767565693,1.217190839,1.281108451,1.033017084,1.119139989,1.276903774,1.240873515,1.281848802,1.144338435,0.345499372,0.747354808,0.377056725,1.050453166,0.922699571,0.93236713
Aizawl,Mizoram,15,3,283,0.074103009,0.351423321,0.382057542,0.477758177,0.394500972,0.328827112,0.039161548,0.298443325,0.150387462,0.371251642,0.363028823,0.398352498,0.186985352,0.235731086,0.289268652,0.333402111,0.338886964,0.347469943,0.243509214,0.225349399,0.306961201,0.370869954,0.261200714,0.185488528
Ajmer,Rajasthan,8,21,119,0.93170784,1.250238916,1.128312238,1.036805187,0.991784996,0.968911448,0.881480202,0.943355216,0.934307049,0.990703439,1.163661364,1.230775859,1.019219401,1.174991765,1.204220643,1.193230231,1.138288776,0.988921828,0.924494078,0.692778116,0.814818951,1.094598758,0.961343485,0.95455815
Akola,Maharashtra,27,5,501,0.707317036,1.183794814,1.042809629,1.057907777,1.024058518,0.633124073,0.765522962,0.809079258,0.285322222,0.829677406,1.016894444,1.179180369,0.844556666,0.96477037,0.967141851,0.890542221,0.919378517,1.038554443,0.001554444,0.629015925,0.261972222,0.917775184,0.777527778,0.762867037
Alappuzha,Kerala,32,11,598,1.233866607,1.611892455,1.379979203,1.322969399,1.136278965,0.975476827,0.22521836,1.305880866,0.95891414,1.236651811,1.312557932,1.295089127,1.115396612,1.214159239,1.346986036,1.349223114,1.26831105,1.303784906,1.292482173,0.83092543,1.182816398,1.252682708,1.164439988,1.302329173
Aligarh,Uttar Pradesh,9,12,143,1.493093576,2.218804754,1.632017702,1.703618107,1.528819423,1.47146788,1.261179564,1.232046029,1.365756702,1.597942841,1.783191199,2.014768335,2.155665149,2.019047546,1.99658523,1.94508346,1.845020232,1.403258977,1.077028831,1.166606474,1.334736469,2.174107739,1.917342943,1.763234699
Alirajpur,Madhya Pradesh,23,48,465,0.388467105,0.693307824,0.722745446,0.841656877,0.729415079,0.475469537,0.429071009,0.332002135,0.087672777,0.568184729,0.564547072,0.653999524,0.532394851,0.585292163,0.785265468,0.909949575,1.055893693,0.905753692,0.092289257,0.187103281,0.344334104,0.511498486,0.401807557,0.388585751
Allahabad,Uttar Pradesh,9,44,175,2.227766763,2.888059701,2.336413083,2.215253209,1.991153189,0.662750798,1.704521792,1.362539911,1.618073809,1.967372836,2.489271181,2.922008242,3.511522237,3.811472864,2.997888171,2.314032821,2.47544182,2.047230266,1.495727704,1.29610418,1.549164252,2.100617434,2.2623268,2.169544813
Almora,Uttarakhand,5,9,64,0.198034173,0.447976019,0.402243406,0.457538369,0.572178655,0.44839868,0.458771582,0.377345923,0.486628895,0.55042326,0.599732613,0.752781173,0.317079137,0.307239209,0.39964988,0.484960432,1.108077337,0.501194244,0.326760792,0.381560551,0.391013789,0.568254795,0.452761391,0.322235612
Alwar,Rajasthan,8,6,104,1.120334744,1.614080713,1.607725163,1.674513546,1.421304676,1.186576426,1.288101748,1.160488396,1.255551845,1.35243352,1.594512404,1.593888418,1.570779924,1.737396821,1.774228192,1.741448039,1.64281285,1.282098089,1.225287755,1.291850234,1.327459242,1.738612781,1.535665027,1.437508858
Ambala,Haryana,6,2,70,2.213375289,2.757063424,2.546221433,2.461252596,2.322726385,2.061578882,1.998401563,1.843337406,2.177805207,2.668353905,2.575333006,3.376393747,2.470956861,2.187056091,2.400773554,2.407679336,2.2044678,2.038011731,1.734981059,1.80471954,1.866853232,3.35998289,2.841281924,2.391686422
Ambedkar Nagar,Uttar Pradesh,9,47,178,1.107881572,1.572298136,1.507063353,1.472797515,1.286957348,0.428200414,0.919668736,1.017556107,1.058745341,1.215313456,1.416787577,1.745664596,1.529963562,1.62009855,1.736701448,1.506890268,1.603722567,1.326240164,1.005696065,0.861059212,0.934949067,1.371893167,1.514578053,1.343444306
Amravati,Maharashtra,27,7,503,0.541944962,0.956057587,0.876392458,0.885334542,0.853419666,0.4285907,0.606429412,0.607009385,0.439390431,0.694485758,0.810776022,0.948476078,0.732931096,0.822146408,0.845532881,0.798598547,0.865474835,0.869614114,0.039270578,0.564557376,0.19494833,0.780773896,0.652878119,0.626987638
Amreli,Gujarat,24,13,480,0.675044078,0.850407031,0.912711197,0.908286735,0.831747265,0.707167899,0.563538361,0.506222356,0.504249912,0.709804038,0.762401641,0.837170922,0.656237721,0.755247595,0.766470958,0.831516043,0.772235151,0.742846203,0.566868419,0.568187496,0.47721072,0.657503147,0.629487682,0.647481487
Amritsar,Punjab,3,15,49,2.673923278,2.866704638,2.742571369,2.653286439,2.53296253,2.111357397,2.072311281,2.261402002,2.405726735,3.000778204,2.516316221,3.159517568,2.671008096,2.670187346,2.587635192,2.648285752,2.391891985,1.982261871,1.914646584,2.008488881,2.085296459,3.265004804,2.846566702,2.658966511
Anand,Gujarat,24,15,482,1.410932663,1.647368314,1.459512624,1.43768531,1.378988596,1.313281971,1.184589329,0.996575482,0.955249117,1.450199565,1.410012218,1.522992804,1.264835731,1.42435718,1.478543306,1.556330436,1.505069915,1.300177844,0.975994432,0.681325006,0.536670513,1.706565978,1.200574939,1.235741243
Anantapur,Andhra Pradesh,28,22,553,0.38187988,0.681547541,0.773413204,0.804767436,0.670334384,0.542148787,0.506666702,0.054922192,0.539119505,0.598342289,0.581255802,0.648293504,0.46024317,0.531252571,0.695192716,0.665159223,0.687468364,0.660767847,0.3904662,0.515542501,0.486784841,0.600993032,0.510576478,0.451293063
Anantnag,Jammu & Kashmir,1,14,14,0.367599365,0.480716108,0.398191303,0.445914838,0.524029597,0.333944548,0.452189716,0.471930034,0.517342519,0.505638148,0.508638089,0.539072402,0.398111357,0.430071441,0.459476101,0.453478483,0.443662188,0.419177865,0.434582979,0.384480354,0.435442536,0.535536654,0.460067471,0.44220389
Anjaw,Arunanchal Pradesh,12,16,260,0.004349556,0.277793136,0.227592485,0.299707591,0.294230502,0.300324352,0.160371392,0.221776526,0.363573669,0.284037982,0.233476973,0.330623731,0.108024856,0.116523027,0.255730879,0.195190778,0.207955166,0.297370638,0.139207562,0.128161914,0.249403856,0.302477206,0.262223126,0.074386433
Anugul,Odisha,21,15,384,0.797440814,1.052976074,1.199275316,1.302844342,1.152485301,0.795355425,0.363860471,0.528180588,0.651770365,1.132473668,1.0955689,1.183968937,0.909751627,1.040797623,1.033643851,0.981684534,1.066857295,1.047934417,0.450239256,0.669104914,0.752177508,1.088650297,0.919915743,0.835714151
