DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,_sum,_sum_1,_sum_2,_sum_3,_sum_4,_sum_5,_sum_6,_sum_7,_sum_8,_sum_9,_sum_10,_sum_11,_sum,_sum_1,_sum_2,_sum_3,_sum_4,_sum_5,_sum_6,_sum_7,_sum_8,_sum_9,_sum_10,_sum_11
Adilabad,Andhra Pradesh,28,1,532,29126.37999,57714.81995,62194.7399,60566.68988,55078.8699,36818.47997,37025.50997,30277.99997,20887.54998,49229.95995,55712.12998,63930.05991,37634.14997,48117.74998,60672.37995,54198.15995,53149.96994,20519.67999,264.8100003,42645.21999,22840.61999,52925.97995,41527.24997,36839.03
Agra,Uttar Pradesh,9,15,146,45183.53997,59815.79999,52729.23999,49170.71,44312.66997,43849.83,40814.01995,33827.57999,40396.95,46356.25997,51874.61999,56260.29,60186.09,59692.00995,62674.27995,58033.79999,53677.91,42654.48998,40235.30002,37164.91999,32087.10998,59765.98998,50864.47995,46756.39998
Ahmadabad,Gujarat,24,7,474,98827.57001,107714.2399,100435.91,97518.74997,94087.20996,87760.37995,83079.07992,59862.64998,72592.01998,89328.60997,92673.43999,97675.56,94025.70996,102054.44,103532.33,103752.35,96810.82994,91001.91998,81188.33001,48935.49998,41783.23003,100482.54,86543.75006,89476.23999
Ahmadnagar,Maharashtra,27,26,522,75147.92993,105026.77,102254.0699,108961.5199,101461.4599,65690.12995,65439.72997,64308.05993,30974.53996,64787.14991,102738.2099,108133.2399,87192.83996,94462.12994,107778.34,104737.1699,108195.7299,96589.02993,29162.21999,63081.22994,31825.84997,88664.54992,77881.37995,78697.37994
Aizawl,Mizoram,15,3,283,1411.440003,6693.559995,7277.050002,9099.860002,7514.060017,6263.170006,745.9100001,5684.450005,2864.429997,7071.230018,6914.609988,7587.420025,3561.509997,4489.97,5509.700006,6350.310005,6454.779999,6618.260011,4638.120002,4292.230002,5846.690003,7063.960011,4975.09,3533.000001
Ajmer,Rajasthan,8,21,119,41297.95002,55416.83994,50012.43994,45956.38992,43960.86995,42946.99994,39071.60997,41814.21993,41413.15993,43912.92995,51579.28996,54554.13993,45176.89997,52081.50998,53377.08,52889.92997,50454.65001,43833.96001,40978.19999,30707.39,36116.84999,48518.08993,42611.54999,42310.78999
Akola,Maharashtra,27,5,501,19097.55998,31962.45998,28155.85997,28563.50999,27649.57998,17094.34997,20669.11996,21845.13996,7703.699986,22401.28996,27456.14998,31837.86995,22803.02999,26048.79998,26112.82998,24044.63998,24823.21997,28040.96996,41.96999995,16983.42996,7073.25,24779.92997,20993.25,20597.40999
Alappuzha,Kerala,32,11,598,8306.389996,10851.26001,9290.019996,8906.229995,7649.429995,6566.909997,1516.17,8791.189992,6455.409991,8325.139994,8836.139996,8718.54,7508.849994,8173.719994,9067.909996,9082.97,8538.269991,8777.079987,8700.989991,5593.789995,7962.719994,8433.059991,7839.009997,8767.279991
Aligarh,Uttar Pradesh,9,12,143,29518.46,43865.76999,32264.98997,33680.52998,30224.75999,29090.92,24933.51998,24357.54998,27001.00999,31591.32997,35253.69,39831.96998,42617.5,39916.56998,39472.49,38454.3,36476.04999,27742.42997,21292.85999,23063.80998,26387.73999,42982.11001,37905.86999,34859.15001
Alirajpur,Madhya Pradesh,23,48,465,6548.389993,11687.08999,12183.31998,14187.80998,12295.74998,8014.989988,7232.849992,5596.559995,1477.899996,9577.889979,9516.569995,11024.46998,8974.579995,9866.269997,13237.21999,15339.01999,17799.19999,15268.28999,1555.72,3154,5804.439997,8622.329985,6773.269995,6550.389998
Allahabad,Uttar Pradesh,9,44,175,60002.66999,77786.99999,62928.94997,59665.62994,53629.71998,17850.53,45909.58994,36698.64998,43581.19998,52989.21997,67046.02998,78701.36998,94579.33993,102658.2101,80745.12,62326.16001,66673.54998,55140.09999,40285.92997,34909.26999,41725.18996,56578.02997,60933.51002,58434.51998
Almora,Uttarakhand,5,9,64,3303.210002,7472.239995,6709.420013,7631.739988,9543.93997,7479.289979,7652.309979,6294.12999,8116.969965,9181.059977,10003.53998,12556.38997,5288.879997,5124.750002,6666.160004,8089.14,18482.72999,8359.919997,5450.370002,6364.429997,6522.109997,9478.489975,7552.059998,5374.890003
Alwar,Rajasthan,8,6,104,48997.84001,70591.81996,70313.85998,73234.84995,62160.75999,51894.91997,56335.12993,50753.95998,54911.55996,59148.67998,69735.99997,69708.70995,68698.05998,75985.04998,77595.86999,76162.22999,71848.41997,56072.55994,53587.95996,56499.06997,58056.42997,76038.22998,67162.30995,62869.44991
Ambala,Haryana,6,2,70,18112.04999,22561.05,20835.72999,20140.42999,19006.87001,16869.89999,16352.91999,15084.02999,17820.98001,21835.14,21073.94999,27629.03003,20219.84,17896.67999,19645.53,19702.04001,18039.16,16677.04999,14197.35,14768.01999,15276.46,27494.73999,23250.20998,19571.16999
Ambedkar Nagar,Uttar Pradesh,9,47,178,13377.66999,18985.5,18197.78999,17784.02999,15540.00998,5170.52,11104.99999,12286.99,12784.34999,14674.90998,17107.70999,21078.89999,18474.31001,19562.68999,20970.66998,18195.69998,19364.95,16014.34999,12143.77999,10397.28998,11289.50999,16565.61,18288.52998,16222.09
Amravati,Maharashtra,27,7,503,33144.26998,58470.56993,53598.40996,54145.28993,52193.43995,26211.75,37088.00996,37123.47995,26872.23997,42473.35997,49585.43996,58006.89998,44824.59997,50280.83,51711.09995,48840.68995,52930.70997,53183.85996,2401.710002,34527.19998,11922.65,47750.56996,39928.72,38345.30995
Amreli,Gujarat,24,13,480,26800.59999,33762.85995,36236.45996,36060.79995,33022.02993,28075.97994,22373.6,20098.03997,20019.73,28180.63993,30268.86996,33237.35993,26053.95002,29984.84,30430.42998,33012.84995,30659.27996,29492.47997,22505.80998,22558.17998,18946.21999,26104.18995,24991.91997,25706.31
Amritsar,Punjab,3,15,49,38964.41,41773.61999,39964.74999,38663.68999,36910.32999,30766.69999,30197.71999,32953.14998,35056.24998,43727.33999,36667.75998,46040.49,38921.92998,38909.97,37707.02002,38590.81998,34854.65001,28885.51999,27900.23002,29267.69998,30386.94,47577.65001,41480.16998,38746.45999
Anand,Gujarat,24,15,482,20785.85999,24269.03,21501.53998,21179.97999,20315.25999,19347.26999,17451.36999,14681.55,14072.72998,21364.34,20772.3,22436.72998,18633.55999,20983.62998,21781.89999,22927.85999,22172.68998,19154.22,14378.34998,10037.27998,7906.229997,25141.12998,17686.87,18204.93999
Anantapur,Andhra Pradesh,28,22,553,35460.21999,63286.45998,71816.82986,74728.28984,62245.23986,50342.30993,47047.54996,5099.909996,50061.01992,55560.26993,53973.67001,60198.58993,42736.80001,49330.51997,64553.50998,61764.68996,63836.2499,61356.91993,36257.51997,47871.72999,45201.37999,55806.40995,47410.59999,41905.71999
