DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,longitude,latitude,x_utm44n,y_utm44n
Adilabad,Andhra Pradesh,28,1,532,78.972134,19.256458,286861.4,2130448.7
Agra,Uttar Pradesh,9,15,146,78.079466,27.037660,210261.1,2993965.1
Ahmadabad,Gujarat,24,7,474,72.195952,22.710023,-406688.6,2538459.5
Ahmadnagar,Maharashtra,27,26,522,74.676902,19.203495,-165758.6,2135462.1
Aizawl,Mizoram,15,3,283,92.889055,23.810620,1716930.2,2684733.5
Ajmer,Rajasthan,8,21,119,74.775167,26.229897,-122500.2,2916128.3
Akola,Maharashtra,27,5,501,77.053286,20.748908,88895.5,2299380.7
Alappuzha,Kerala,32,11,598,76.449580,9.423558,-60.5,1044936.5
Aligarh,Uttar Pradesh,9,12,143,78.079311,27.926866,212566.4,3092534.1
Alirajpur,Madhya Pradesh,23,48,465,74.364523,22.313841,-184498.5,2482660.9
Allahabad,Uttar Pradesh,9,44,175,81.971718,25.298896,597820.2,2798399.3
Almora,Uttarakhand,5,9,64,79.501938,29.689198,355058.8,3285285.4
Alwar,Rajasthan,8,6,104,76.606022,27.591473,66110.2,3059664.8
Ambala,Haryana,6,2,70,76.942196,30.328536,109768.8,3362175.8
Ambedkar Nagar,Uttar Pradesh,9,47,178,82.668547,26.420062,666400.3,2923282.7
Amravati,Maharashtra,27,7,503,77.572016,21.187840,144023.3,2346788.7
Amreli,Gujarat,24,13,480,71.216451,21.383897,-517825.4,2396535.5
Amritsar,Punjab,3,15,49,74.900668,31.704612,-78445.7,3523913.6
Anand,Gujarat,24,15,482,72.777328,22.447978,-348135.5,2505762.0
Anantapur,Andhra Pradesh,28,22,553,77.576878,14.481028,130922.8,1603686.1
Anantnag,Jammu & Kashmir,1,14,14,75.357499,33.815203,-22521.8,3756012.9
Anjaw,Arunanchal Pradesh,12,16,260,96.828778,28.065489,2066484.2,3207969.0
Anugul,Odisha,21,15,384,84.908959,20.986366,906526.5,2325610.6
Anuppur,Madhya Pradesh,23,44,461,81.683994,23.056741,570068.5,2549964.8
Araria,Bihar,10,7,209,87.354341,26.199497,1135649.8,2913381.4
Ariyalur,Tamil Nadu,33,15,616,79.244223,11.160536,308268.7,1234298.8
Ashoknagar,Madhya Pradesh,23,42,459,77.875198,24.609367,183584.3,2725290.1
Auraiya,Uttar Pradesh,9,31,162,79.482755,26.660686,349006.5,2949751.2
Aurangabad,Bihar,10,33,235,84.412197,24.792871,845031.9,2746324.7
Aurangabad,Maharashtra,27,19,515,75.273450,20.021515,-99715.3,2224147.1
Azamgarh,Uttar Pradesh,9,60,191,83.069655,26.047042,707071.6,2882536.2
Badgam,Jammu & Kashmir,1,2,2,74.662969,33.890006,-86418.9,3768087.3
Bagalkot,Karnataka,29,2,556,75.625376,16.220549,-75121.4,1800882.5
Bageshwar,Uttarakhand,5,8,63,79.859606,29.991112,389998.2,3318347.7
Baghpat,Uttar Pradesh,9,8,139,77.312862,29.055273,140932.4,3219725.4
Bahraich,Uttar Pradesh,9,49,180,81.451867,27.736385,544536.6,3068082.6
Baksa,Assam,18,25,324,91.346514,26.664847,1532925.6,2991470.2
Balaghat,Madhya Pradesh,23,40,457,80.360611,21.880763,433945.7,2419766.5
Balangir,Odisha,21,24,393,83.173883,20.590462,726580.8,2278336.2
Baleshwar,Odisha,21,8,377,86.917045,21.489779,1113726.5,2387992.3
Ballia,Uttar Pradesh,9,62,193,84.105463,25.875384,811209.7,2865566.6
Balrampur,Uttar Pradesh,9,51,182,82.377593,27.484972,636094.5,3040907.3
Banas Kantha,Gujarat,24,2,469,72.031936,24.283524,-412622.8,2715152.7
Banda,Uttar Pradesh,9,39,170,80.561799,25.465005,455948.8,2816511.1
Bandipore,Jammu & Kashmir,1,9,9,74.828318,34.504036,-66948.0,3835381.5
Bangalore Rural,Karnataka,29,29,583,77.575011,13.225668,128728.6,1464632.7
Bangalore,Karnataka,29,18,572,77.595936,12.950835,130589.3,1434160.3
Banka,Bihar,10,23,225,86.840858,24.853693,1090761.4,2761433.1
Bankura,West Bengal,19,13,339,87.134957,23.140980,1128901.0,2572393.0
Banswara,Rajasthan,8,27,125,74.363902,23.475174,-178716.3,2611828.0
Bara Banki,Uttar Pradesh,9,45,176,81.327403,26.938642,532501.0,2979681.4
Bargarh,Odisha,21,1,370,83.353441,21.220225,744280.8,2348337.4
Baramula,Jammu & Kashmir,1,8,8,74.463392,34.162740,-102973.6,3799565.2
Baran,Rajasthan,8,30,128,76.756590,24.995174,71528.5,2771125.9
Barddhaman,West Bengal,19,9,335,87.767732,23.427770,1192471.2,2607187.0
Bareilly,Uttar Pradesh,9,19,150,79.422282,28.449429,345512.4,3148002.9
Barmer,Rajasthan,8,17,115,71.473268,25.735584,-458302.9,2881209.2
Barnala,Punjab,3,20,54,75.504800,30.397194,-28273.7,3375642.1
Barpeta,Assam,18,4,303,91.010841,26.340183,1502065.1,2952462.8
Barwani,Madhya Pradesh,23,24,441,75.021316,21.787373,-118859.7,2421306.8
Bastar,Chhattisgarh,22,15,414,81.770259,19.421963,580865.0,2147698.5
Basti,Uttar Pradesh,9,54,185,82.631087,26.818345,662100.9,2967356.7
Bathinda,Punjab,3,12,46,75.040659,30.182766,-74223.6,3354085.5
Bauda,Odisha,21,22,391,84.177645,20.646815,831147.9,2286300.7
Begusarai,Bihar,10,20,222,86.130844,25.495287,1016094.3,2829756.4
Belgaum,Karnataka,29,1,555,74.822982,16.119442,-161586.6,1792076.6
Bellary,Karnataka,29,11,565,76.533357,15.109563,19624.5,1675332.2
Betul,Madhya Pradesh,23,30,447,77.871040,21.877963,176633.6,2422611.7
Bhadrak,Odisha,21,9,378,86.625402,20.985859,1085400.4,2330897.7
